ID,Time,data,Final_acc,Final_dev_acc,initial_train_acc,initial_dev_acc,all_merges,correct_merges,state_set_size,equivalence
4,0,100,100.0,100.0,100.0,5.7,340,315,5,1
4,0,100,100.0,100.0,100.0,5.7,287,270,6,1
4,0,100,100.0,100.0,100.0,5.3,321,321,1,1
4,0,100,100.0,100.0,100.0,5.7,351,350,5,1
4,0,100,100.0,100.0,100.0,6.2,432,424,5,1
4,0,100,100.0,100.0,100.0,5.5,287,275,4,1
4,0,100,79.74504249291785,16.1,100.0,5.5,250,236,3,0
4,0,100,98.73417721518987,24.2,100.0,5.7,278,266,37,0
4,0,100,100.0,100.0,100.0,5.5,343,343,3,1
4,0,100,100.0,100.0,100.0,5.7,372,267,5,1
