ID,Time,data,sim_threshold,Final_acc,Final_dev_acc,initial_train_acc,initial_dev_acc,all_merges,correct_merges,state_set_size,equivalence
0,0,100,0.2,100.0,100.0,100.0,6.0,384,384,2,1
0,0,100,0.4,100.0,100.0,100.0,6.0,384,384,2,1
0,0,100,0.6,100.0,100.0,100.0,6.0,384,384,2,1
0,0,100,0.8,100.0,100.0,100.0,6.0,384,384,2,1
0,0,100,0.9,100.0,100.0,100.0,6.0,384,384,2,1
0,0,100,0.95,100.0,100.0,100.0,6.0,384,384,2,1
1,0,100,0.2,100.0,100.0,100.0,5.6000000000000005,317,317,5,1
1,0,100,0.4,100.0,100.0,100.0,5.6000000000000005,316,315,5,1
1,0,100,0.6,100.0,100.0,100.0,5.6000000000000005,315,315,6,1
1,0,100,0.8,100.0,100.0,100.0,5.6000000000000005,320,320,6,1
1,0,100,0.9,100.0,100.0,100.0,5.6000000000000005,318,318,7,1
1,0,100,0.95,100.0,100.0,100.0,5.6000000000000005,319,318,7,1
2,0,100,0.2,100.0,100.0,100.0,5.5,337,328,5,1
2,0,100,0.4,100.0,100.0,100.0,5.5,336,336,6,1
2,0,100,0.6,100.0,100.0,100.0,5.5,338,338,6,1
2,0,100,0.8,100.0,100.0,100.0,5.5,359,359,8,1
2,0,100,0.9,100.0,100.0,100.0,5.5,342,333,9,1
2,0,100,0.95,100.0,100.0,100.0,5.5,338,334,10,1
3,0,100,0.2,44.19525065963061,3.5999999999999996,100.0,5.6000000000000005,412,412,5,0
3,0,100,0.4,44.19525065963061,3.5999999999999996,100.0,5.6000000000000005,411,408,4,0
3,0,100,0.6,44.19525065963061,3.5999999999999996,100.0,5.6000000000000005,416,407,4,0
3,0,100,0.8,48.94459102902375,5.6000000000000005,100.0,5.6000000000000005,333,309,6,0
3,0,100,0.9,100.0,100.0,100.0,5.6000000000000005,333,333,6,1
3,0,100,0.95,100.0,100.0,100.0,5.6000000000000005,332,323,9,1
4,0,100,0.2,75.50744248985114,51.0,100.0,5.800000000000001,350,350,4,0
4,0,100,0.4,75.50744248985114,51.0,100.0,5.800000000000001,350,350,4,0
4,0,100,0.6,75.50744248985114,51.0,100.0,5.800000000000001,394,391,6,0
4,0,100,0.8,100.0,100.0,100.0,5.800000000000001,356,350,6,1
4,0,100,0.9,100.0,96.8,100.0,5.800000000000001,378,365,13,0
4,0,100,0.95,100.0,100.0,100.0,5.800000000000001,346,332,14,1
5,0,100,0.2,54.375896700143464,3.9,100.0,5.4,282,271,4,0
5,0,100,0.4,54.375896700143464,3.9,100.0,5.4,282,267,4,0
5,0,100,0.6,54.375896700143464,3.9,100.0,5.4,285,240,5,0
5,0,100,0.8,61.406025824964125,5.8999999999999995,100.0,5.4,277,250,11,0
5,0,100,0.9,100.0,100.0,100.0,5.4,270,249,16,1
5,0,100,0.95,100.0,65.60000000000001,100.0,5.4,263,229,23,0
6,0,100,0.2,65.49210206561361,6.3,100.0,5.6000000000000005,411,385,5,0
6,0,100,0.4,49.817739975698665,4.7,100.0,5.6000000000000005,391,380,11,0
6,0,100,0.6,65.49210206561361,6.3,100.0,5.6000000000000005,402,352,9,0
6,0,100,0.8,76.30619684082625,7.7,100.0,5.6000000000000005,418,350,6,0
6,0,100,0.9,79.10085054678008,8.0,100.0,5.6000000000000005,371,329,32,0
6,0,100,0.95,94.65370595382745,11.1,100.0,5.6000000000000005,348,314,51,0
7,0,100,0.2,40.42253521126761,4.3999999999999995,100.0,5.4,339,321,5,0
7,0,100,0.4,45.2112676056338,6.7,100.0,5.4,306,303,6,0
7,0,100,0.6,45.2112676056338,10.9,100.0,5.4,308,299,8,0
7,0,100,0.8,100.0,100.0,100.0,5.4,306,305,11,1
7,0,100,0.9,100.0,100.0,100.0,5.4,311,304,13,1
7,0,100,0.95,100.0,100.0,100.0,5.4,295,286,15,1
8,0,100,0.2,100.0,100.0,100.0,5.2,335,335,1,1
8,0,100,0.4,100.0,100.0,100.0,5.2,335,335,1,1
8,0,100,0.6,100.0,100.0,100.0,5.2,335,335,1,1
8,0,100,0.8,100.0,100.0,100.0,5.2,335,335,1,1
8,0,100,0.9,100.0,100.0,100.0,5.2,335,335,1,1
8,0,100,0.95,100.0,100.0,100.0,5.2,335,335,1,1
9,0,100,0.2,68.06282722513089,6.0,100.0,5.2,360,359,5,0
9,0,100,0.4,68.06282722513089,6.0,100.0,5.2,363,353,4,0
9,0,100,0.6,73.82198952879581,7.3999999999999995,100.0,5.2,341,332,9,0
9,0,100,0.8,75.0,7.3999999999999995,100.0,5.2,348,333,13,0
9,0,100,0.9,100.0,100.0,100.0,5.2,335,323,17,1
9,0,100,0.95,100.0,76.9,100.0,5.2,330,318,23,0
