id,train_size,test_size,epoch_convergence,train_acc,test_acc,dev_size,tree_dataset_size,sim_threshold,all_merges,correct_merges,equivalent,dev_acc
0,8000,2000,2,100.0,100.0,10000,100,0.95,349,349,1,100.0
1,8000,2000,3,100.0,100.0,10000,100,0.95,323,323,1,100.0
0,8000,2000,2,100.0,100.0,10000,100,0.95,349,349,1,100.0
1,8000,2000,3,100.0,100.0,10000,100,0.95,399,399,1,100.0
2,8000,2000,25,100.0,99.98999834060669,10000,100,0.95,319,318,1,100.0
3,8000,2000,4,100.0,100.0,10000,100,0.95,341,341,1,100.0
4,8000,2000,11,99.98083114624023,99.98999834060669,10000,100,0.95,335,327,0,25.31
5,8000,2000,22,99.99750256538391,99.99666810035706,10000,100,0.95,321,298,0,7.9799999999999995
6,8000,2000,2,100.0,100.0,10000,100,0.95,495,495,0,100.0
7,8000,2000,30,100.0,100.0,10000,100,0.95,271,241,0,13.44
8,8000,2000,46,100.0,100.0,10000,100,0.95,286,285,0,9.42
9,8000,2000,7,100.0,100.0
0,8000,2000,2,100.0,100.0,10000,100,0.95,320,320,0,100.0
1,8000,2000,3,100.0,100.0,10000,100,0.95,349,349,1,100.0
2,8000,2000,3,100.0,100.0,10000,100,0.95,385,384,1,100.0
3,8000,2000,4,100.0,100.0,10000,100,0.95,372,372,1,100.0
4,8000,2000,7,100.0,100.0,10000,100,0.95,296,296,1,100.0
5,8000,2000,6,100.0,100.0,10000,100,0.95,352,351,1,100.0
6,8000,2000,30,100.0,100.0,10000,100,0.95,306,286,1,100.0
7,8000,2000,11,100.0,100.0,10000,100,0.95,385,377,1,100.0
8,8000,2000,53,99.98833537101746,99.94666576385498,10000,100,0.95,377,372,0,25.729999999999997
9,8000,2000,0,99.16916489601135,99.01666641235352
0,8000,2000,2,100.0,100.0,10000,100,0.95,394,394,1,100.0
1,8000,2000,2,100.0,100.0,10000,100,0.95,387,387,1,100.0
2,8000,2000,3,100.0,100.0,10000,100,0.95,300,284,1,100.0
3,8000,2000,3,100.0,100.0,10000,100,0.95,395,382,1,100.0
4,8000,2000,4,100.0,100.0,10000,100,0.95,381,381,1,100.0
5,8000,2000,13,100.0,100.0,10000,100,0.95,292,291,0,53.449999999999996
6,8000,2000,14,100.0,100.0,10000,100,0.95,253,248,1,100.0
7,8000,2000,26,100.0,100.0,10000,100,0.95,319,315,0,14.08
8,8000,2000,0,99.15916919708252,99.34999942779541,10000,100,0.95,285,275,0,5.19
9,8000,2000,0,99.98499751091003,99.9833345413208
0,8000,2000,2,100.0,100.0,10000,100,0.95,419,419,1,100.0
1,8000,2000,2,100.0,100.0,10000,100,0.95,311,311,1,100.0
2,8000,2000,5,100.0,100.0,10000,100,0.95,336,336,1,100.0
3,8000,2000,5,100.0,100.0,10000,100,0.95,368,368,1,100.0
4,8000,2000,10,100.0,100.0,10000,100,0.95,302,275,0,14.48
5,8000,2000,16,100.0,100.0,10000,100,0.95,346,336,1,100.0
6,8000,2000,16,99.97583627700806,100.0,10000,100,0.95,292,292,0,97.0
7,8000,2000,0,99.73083138465881,99.75333213806152,10000,100,0.95,324,287,0,6.4799999999999995
8,8000,2000,9,100.0,100.0,10000,100,0.95,338,312,1,100.0
9,8000,2000,13,100.0,100.0
0,8000,2000,2,100.0,100.0,10000,100,0.95,400,400,0,100.0
1,8000,2000,6,100.0,100.0,10000,100,0.95,373,373,1,100.0
2,8000,2000,2,100.0,100.0,10000,100,0.95,325,325,1,100.0
3,8000,2000,4,100.0,100.0,10000,100,0.95,345,345,1,100.0
4,8000,2000,8,100.0,100.0,10000,100,0.95,317,317,1,100.0
5,8000,2000,8,100.0,100.0,10000,100,0.95,313,299,1,100.0
6,8000,2000,3,100.0,100.0,10000,100,0.95,305,305,1,100.0
7,8000,2000,4,100.0,100.0,10000,100,0.95,383,379,1,100.0
8,8000,2000,8,100.0,100.0,10000,100,0.95,284,282,1,100.0
9,8000,2000,4,100.0,100.010000,100,0.95,349,349,1,100.0
