id,threshold,expected_state_set_size,obtained_state_set_size,equivalent,init_dev_acc,final_dev_acc
0,0.9,2,3,1,1.68,100.0
0,0.9,2,2,1,1.81,100.0
1,0.9,3,7,1,2.16,100.0
1,0.9,3,8,1,1.97,100.0
2,0.9,4,9,1,2.22,100.0
3,0.9,5,10,1,2.23,100.0
4,0.9,6,12,1,2.2800000000000002,100.0
5,0.9,7,15,1,1.92,100.0
6,0.9,8,7,1,2.23,100.0
7,0.9,9,12,1,2.0,100.0
8,0.9,10,11,1,2.06,100.0
9,0.9,11,13,1,1.9800000000000002,100.0
0,0.6,2,2,1,0.96,100.0
0,0.4,2,2,1,1.27,100.0
0,0.2,2,2,1,1.08,100.0
0,0.9,2,2,1,1.26,100.0
1,0.9,3,7,1,1.25,100.0
1,0.6,3,5,1,0.9199999999999999,100.0
1,0.4,3,5,1,1.21,100.0
1,0.2,3,4,0,0.9900000000000001,1.54
2,0.2,4,6,0,1.09,1.34
2,0.4,4,5,0,1.11,1.4000000000000001
2,0.6,4,6,0,1.2,1.35
2,0.8,4,7,1,1.2,100.0
2,0.9,4,8,1,1.05,100.0
3,0.2,5,6,0,1.03,1.13
3,0.4,5,6,0,1.11,1.39
3,0.6,5,6,0,0.8999999999999999,1.25
3,0.8,5,8,1,1.09,100.0
3,0.9,5,9,1,1.11,100.0
4,0.2,6,4,0,1.0999999999999999,1.58
4,0.4,6,6,0,1.0999999999999999,1.4500000000000002
4,0.6,6,9,0,1.2,1.59
4,0.8,6,8,0,1.17,1.6199999999999999
4,0.9,6,12,1,0.86,100.0
5,0.2,7,4,0,1.2,4.54
5,0.4,7,5,0,1.01,4.63
5,0.6,7,10,0,1.09,2.15
5,0.8,7,14,0,1.15,2.4699999999999998
5,0.9,7,19,0,1.1400000000000001,7.82
6,0.2,8,5,0,0.9900000000000001,1.79
6,0.4,8,5,0,1.39,1.96
6,0.6,8,5,0,1.18,1.92
6,0.8,8,6,0,1.15,1.87
6,0.9,8,10,1,0.98,100.0
7,0.2,9,8,0,0.9299999999999999,0.97
7,0.4,9,8,0,1.0999999999999999,2.85
7,0.6,9,12,0,1.28,7.8100000000000005
7,0.8,9,14,1,1.08,100.0
7,0.9,9,11,1,1.05,100.0
8,0.2,10,3,0,1.04,2.23
8,0.4,10,3,0,1.23,2.27
8,0.6,10,4,0,1.32,2.44
8,0.8,10,4,0,1.01,2.81
8,0.9,10,9,0,1.22,9.959999999999999
9,0.2,11,5,0,1.3,1.6500000000000001
9,0.4,11,7,0,1.06,1.3599999999999999
9,0.6,11,7,0,1.05,49.58
9,0.8,11,12,1,1.08,100.0
9,0.9,11,12,1,1.21,100.0
0,0.9,2,2,0,0.33,0.38999999999999996
0,0.9,2,2,0,0.37,0.38999999999999996
0,0.9,2,2,0,0.32,0.4
0,0.9,2,2,0,0.42,0.43
